name,rating,description,website_url,formatted_address,latitude,longitude,price_level
Burger King,3.5,"Well-known fast-food chain serving grilled burgers, fries & shakes.",https://burgerking.com/store-locator/store/12262,"521 E 149th St, Bronx, NY 10455, USA",40.8151079,-73.91441429999999,PRICE_LEVEL_INEXPENSIVE
Butterfield Market - Lexington,4.4,"Venerable market specializing in artisanal goods, prepared foods, fresh sandwiches & frozen yogurt.",https://www.butterfieldmarket.com/,"1114 Lexington Ave, New York, NY 10075, USA",40.7741118,-73.9596784,PRICE_LEVEL_INEXPENSIVE
Buvette,4.4,"Popular, quaint bistro offering a French small-plates menu at breakfast, lunch, and dinner.",http://www.ilovebuvette.com/,"42 Grove St, New York, NY 10014, USA",40.7326259,-74.00432839999999,PRICE_LEVEL_EXPENSIVE
Bánh,4.5,"Relaxed, narrow restaurant offering Vietnamese cuisine & sandwiches, plus a take-out option.",http://banhny.com/,"942 Amsterdam Ave, New York, NY 10025, USA",40.8008758,-73.96567759999999,PRICE_LEVEL_MODERATE
Cafe Colonial Restaurant,4.1,"Latin fusion dishes & American fare like Cuban sandwiches, mofongo & eggs in modern dining room.",https://cafecolonialnyc.com/?utm_source=google,"2072 White Plains Rd, Bronx, NY 10462, USA",40.8526076,-73.8673579,PRICE_LEVEL_MODERATE
Cafe Luluc,4.3,"Casual, neighborhood French eatery with garden seating serving brunch staples & coffee. Cash only.",https://cafeluluc.net/,"214 Smith St, Brooklyn, NY 11201, USA",40.684494,-73.9922246,PRICE_LEVEL_MODERATE
Cafe Mogador,4.5,Classic Moroccan flavors & outdoor seating draw a bohemian crowd to this neighborhood standby.,http://cafemogador.com/,"101 St Marks Pl, New York, NY 10009, USA",40.7274314,-73.98431149999999,PRICE_LEVEL_MODERATE
Cafe Mogador,4.6,"Bustling eatery for traditional Moroccan tagines, couscous, and more in cozy yet charming quarters.",http://www.cafemogador.com/,"133 Wythe Ave, Brooklyn, NY 11249, USA",40.7197416,-73.9599664,PRICE_LEVEL_MODERATE
Cafe Muscat,4.3,"Easygoing cafe for a range of Mediterranean & other kosher fare, including sushi rolls.",https://www.cafemuscat.com/?utm_source=GMB&utm_medium=Website+Button&utm_id=cafemuscat,"178-07 Union Tpke, Flushing, NY 11366, USA",40.726569,-73.789796,PRICE_LEVEL_MODERATE
Café Sabarsky,4.3,Sweet-toothed art lovers pause for Viennese pastries & savory dishes at the Neue Galerie's cafe.,https://www.neuegalerie.org/cafesabarsky,"1048 5th Ave, New York, NY 10028, USA",40.7812357,-73.9602568,PRICE_LEVEL_EXPENSIVE
Carmine's - Time Square,4.5,"Relaxed, family-friendly restaurant serving a menu of homestyle Southern Italian meals.",https://carminesnyc.com/locations/times-square,"200 W 44th St, New York, NY 10036, USA",40.757498,-73.986654,PRICE_LEVEL_MODERATE
Carmine's - Upper West Side,4.4,"Relaxed, family-friendly restaurant serving a menu of homestyle Southern Italian meals.",https://carminesnyc.com/locations/upper-west-side,"2450 Broadway, New York, NY 10024, USA",40.7911087,-73.9739812,PRICE_LEVEL_MODERATE
Carnegie Diner & Cafe,4.5,"Old-fashioned diner offering farm-fresh comfort food, an all-day brunch, and cocktails.",https://carnegiediner.com/,"205 W 57th St, New York, NY 10019, USA",40.765753,-73.98012109999999,PRICE_LEVEL_MODERATE
